file	v7_label	v7_teacher_n	v7_other_n	v7_exact_agreement	v7_overlap_agreement	v7_additions	v7_removals	v7_type_changes	v7_boundary_changes	v7_assertion_changes	v7_candidate_changes	v7_teacher_by_type	v7_other_by_type	v10_label	v10_teacher_n	v10_other_n	v10_exact_agreement	v10_overlap_agreement	v10_additions	v10_removals	v10_type_changes	v10_boundary_changes	v10_assertion_changes	v10_candidate_changes	v10_teacher_by_type	v10_other_by_type
41	v7	59	95	38	46	21	57	6	13	10	5	"{""TRIỆU_CHỨNG"": 33, ""CHẨN_ĐOÁN"": 15, ""THUỐC"": 4, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""TRIỆU_CHỨNG"": 58, ""TÊN_XÉT_NGHIỆM"": 18, ""CHẨN_ĐOÁN"": 11, ""THUỐC"": 8}"	v10	59	95	39	46	20	56	6	12	10	6	"{""TRIỆU_CHỨNG"": 33, ""CHẨN_ĐOÁN"": 15, ""THUỐC"": 4, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""TRIỆU_CHỨNG"": 58, ""TÊN_XÉT_NGHIỆM"": 18, ""CHẨN_ĐOÁN"": 11, ""THUỐC"": 8}"
42	v7	23	29	18	22	5	11	1	8	0	1	"{""THUỐC"": 1, ""TRIỆU_CHỨNG"": 22}"	"{""TRIỆU_CHỨNG"": 28, ""TÊN_XÉT_NGHIỆM"": 1}"	v10	23	29	18	22	5	11	1	8	0	1	"{""THUỐC"": 1, ""TRIỆU_CHỨNG"": 22}"	"{""TRIỆU_CHỨNG"": 28, ""TÊN_XÉT_NGHIỆM"": 1}"
43	v7	19	32	4	16	15	28	1	10	4	1	"{""CHẨN_ĐOÁN"": 6, ""TRIỆU_CHỨNG"": 9, ""TÊN_XÉT_NGHIỆM"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 13, ""TRIỆU_CHỨNG"": 12, ""CHẨN_ĐOÁN"": 5, ""THUỐC"": 2}"	v10	19	32	4	16	15	28	1	10	4	1	"{""CHẨN_ĐOÁN"": 6, ""TRIỆU_CHỨNG"": 9, ""TÊN_XÉT_NGHIỆM"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 13, ""TRIỆU_CHỨNG"": 12, ""CHẨN_ĐOÁN"": 5, ""THUỐC"": 2}"
44	v7	45	71	24	38	21	47	7	13	4	7	"{""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 33, ""THUỐC"": 8}"	"{""TRIỆU_CHỨNG"": 55, ""CHẨN_ĐOÁN"": 4, ""TÊN_XÉT_NGHIỆM"": 6, ""THUỐC"": 6}"	v10	45	71	24	38	21	47	7	13	4	7	"{""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 33, ""THUỐC"": 8}"	"{""TRIỆU_CHỨNG"": 55, ""CHẨN_ĐOÁN"": 4, ""TÊN_XÉT_NGHIỆM"": 6, ""THUỐC"": 6}"
45	v7	10	17	0	1	10	17	8	3	4	6	"{""CHẨN_ĐOÁN"": 6, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""TRIỆU_CHỨNG"": 12, ""TÊN_XÉT_NGHIỆM"": 5}"	v10	10	17	0	1	10	17	8	3	4	6	"{""CHẨN_ĐOÁN"": 6, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""TRIỆU_CHỨNG"": 12, ""TÊN_XÉT_NGHIỆM"": 5}"
46	v7	1	21	0	0	1	21	1	0	0	1	"{""CHẨN_ĐOÁN"": 1}"	"{""TRIỆU_CHỨNG"": 10, ""TÊN_XÉT_NGHIỆM"": 9, ""CHẨN_ĐOÁN"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	v10	1	21	0	0	1	21	1	0	0	1	"{""CHẨN_ĐOÁN"": 1}"	"{""TRIỆU_CHỨNG"": 10, ""TÊN_XÉT_NGHIỆM"": 9, ""CHẨN_ĐOÁN"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"
47	v7	32	32	14	19	18	18	9	10	1	7	"{""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 16, ""TÊN_XÉT_NGHIỆM"": 7, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5}"	"{""TRIỆU_CHỨNG"": 21, ""TÊN_XÉT_NGHIỆM"": 6, ""THUỐC"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	v10	32	32	15	20	17	17	8	9	1	7	"{""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 16, ""TÊN_XÉT_NGHIỆM"": 7, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5}"	"{""TRIỆU_CHỨNG"": 20, ""TÊN_XÉT_NGHIỆM"": 6, ""THUỐC"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2, ""CHẨN_ĐOÁN"": 1}"
48	v7	34	67	23	26	11	44	5	8	14	2	"{""TRIỆU_CHỨNG"": 27, ""TÊN_XÉT_NGHIỆM"": 3, ""CHẨN_ĐOÁN"": 4}"	"{""TRIỆU_CHỨNG"": 62, ""TÊN_XÉT_NGHIỆM"": 4, ""CHẨN_ĐOÁN"": 1}"	v10	34	67	23	26	11	44	5	8	14	2	"{""TRIỆU_CHỨNG"": 27, ""TÊN_XÉT_NGHIỆM"": 3, ""CHẨN_ĐOÁN"": 4}"	"{""TRIỆU_CHỨNG"": 62, ""TÊN_XÉT_NGHIỆM"": 4, ""CHẨN_ĐOÁN"": 1}"
49	v7	24	21	8	18	16	13	3	8	3	1	"{""TRIỆU_CHỨNG"": 21, ""CHẨN_ĐOÁN"": 3}"	"{""TRIỆU_CHỨNG"": 20, ""CHẨN_ĐOÁN"": 1}"	v10	24	21	8	18	16	13	3	8	3	1	"{""TRIỆU_CHỨNG"": 21, ""CHẨN_ĐOÁN"": 3}"	"{""TRIỆU_CHỨNG"": 20, ""CHẨN_ĐOÁN"": 1}"
5	v7	39	41	19	25	20	22	6	6	4	4	"{""CHẨN_ĐOÁN"": 6, ""TRIỆU_CHỨNG"": 12, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5, ""THUỐC"": 3}"	"{""TRIỆU_CHỨNG"": 15, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3, ""THUỐC"": 5}"	v10	39	41	20	25	19	21	6	5	4	4	"{""CHẨN_ĐOÁN"": 6, ""TRIỆU_CHỨNG"": 12, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5, ""THUỐC"": 3}"	"{""TRIỆU_CHỨNG"": 15, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3, ""THUỐC"": 5}"
50	v7	44	60	20	36	24	40	6	15	3	4	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 10, ""TRIỆU_CHỨNG"": 27, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""CHẨN_ĐOÁN"": 5, ""THUỐC"": 16, ""TÊN_XÉT_NGHIỆM"": 7, ""TRIỆU_CHỨNG"": 32}"	v10	44	60	20	36	24	40	6	15	3	4	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 10, ""TRIỆU_CHỨNG"": 27, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""CHẨN_ĐOÁN"": 5, ""THUỐC"": 16, ""TÊN_XÉT_NGHIỆM"": 7, ""TRIỆU_CHỨNG"": 32}"
51	v7	27	23	10	11	17	13	4	4	2	4	"{""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 12, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5, ""THUỐC"": 1}"	"{""TRIỆU_CHỨNG"": 14, ""TÊN_XÉT_NGHIỆM"": 5, ""THUỐC"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2, ""CHẨN_ĐOÁN"": 1}"	v10	27	23	11	12	16	12	3	3	2	3	"{""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 12, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5, ""THUỐC"": 1}"	"{""TRIỆU_CHỨNG"": 13, ""TÊN_XÉT_NGHIỆM"": 5, ""THUỐC"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2, ""CHẨN_ĐOÁN"": 2}"
52	v7	10	22	1	5	9	21	3	5	1	2	"{""CHẨN_ĐOÁN"": 2, ""TRIỆU_CHỨNG"": 4, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 11, ""TRIỆU_CHỨNG"": 8, ""THUỐC"": 2, ""CHẨN_ĐOÁN"": 1}"	v10	10	22	1	5	9	21	3	5	1	2	"{""CHẨN_ĐOÁN"": 2, ""TRIỆU_CHỨNG"": 4, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 11, ""TRIỆU_CHỨNG"": 8, ""THUỐC"": 2, ""CHẨN_ĐOÁN"": 1}"
53	v7	11	28	4	10	7	24	2	7	10	3	"{""CHẨN_ĐOÁN"": 7, ""TRIỆU_CHỨNG"": 4}"	"{""TRIỆU_CHỨNG"": 17, ""CHẨN_ĐOÁN"": 6, ""TÊN_XÉT_NGHIỆM"": 5}"	v10	11	28	4	10	7	24	2	7	10	3	"{""CHẨN_ĐOÁN"": 7, ""TRIỆU_CHỨNG"": 4}"	"{""TRIỆU_CHỨNG"": 17, ""CHẨN_ĐOÁN"": 6, ""TÊN_XÉT_NGHIỆM"": 5}"
54	v7	48	74	20	36	28	54	12	20	5	10	"{""CHẨN_ĐOÁN"": 12, ""THUỐC"": 8, ""TRIỆU_CHỨNG"": 17, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6}"	"{""TRIỆU_CHỨNG"": 32, ""CHẨN_ĐOÁN"": 11, ""TÊN_XÉT_NGHIỆM"": 18, ""THUỐC"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5}"	v10	48	74	20	36	28	54	12	20	5	10	"{""CHẨN_ĐOÁN"": 12, ""THUỐC"": 8, ""TRIỆU_CHỨNG"": 17, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6}"	"{""TRIỆU_CHỨNG"": 32, ""CHẨN_ĐOÁN"": 11, ""TÊN_XÉT_NGHIỆM"": 18, ""THUỐC"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5}"
55	v7	4	4	4	4	0	0	0	0	0	0	"{""TRIỆU_CHỨNG"": 4}"	"{""TRIỆU_CHỨNG"": 4}"	v10	4	4	4	4	0	0	0	0	0	0	"{""TRIỆU_CHỨNG"": 4}"	"{""TRIỆU_CHỨNG"": 4}"
56	v7	20	35	4	9	16	31	3	6	4	0	"{""CHẨN_ĐOÁN"": 3, ""TÊN_XÉT_NGHIỆM"": 11, ""TRIỆU_CHỨNG"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 22, ""TÊN_XÉT_NGHIỆM"": 10, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3}"	v10	20	35	4	9	16	31	3	6	4	0	"{""CHẨN_ĐOÁN"": 3, ""TÊN_XÉT_NGHIỆM"": 11, ""TRIỆU_CHỨNG"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 22, ""TÊN_XÉT_NGHIỆM"": 10, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3}"
57	v7	4	8	2	2	2	6	1	1	0	0	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 1, ""TÊN_XÉT_NGHIỆM"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 4, ""CHẨN_ĐOÁN"": 2, ""TRIỆU_CHỨNG"": 2}"	v10	4	8	2	2	2	6	1	1	0	1	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 1, ""TÊN_XÉT_NGHIỆM"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 4, ""CHẨN_ĐOÁN"": 3, ""TRIỆU_CHỨNG"": 1}"
58	v7	53	78	30	45	23	48	8	16	9	5	"{""CHẨN_ĐOÁN"": 5, ""TRIỆU_CHỨNG"": 30, ""TÊN_XÉT_NGHIỆM"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6, ""THUỐC"": 4}"	"{""TRIỆU_CHỨNG"": 51, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6, ""THUỐC"": 3}"	v10	53	78	30	46	23	48	7	16	9	6	"{""CHẨN_ĐOÁN"": 5, ""TRIỆU_CHỨNG"": 30, ""TÊN_XÉT_NGHIỆM"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6, ""THUỐC"": 4}"	"{""TRIỆU_CHỨNG"": 50, ""CHẨN_ĐOÁN"": 6, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6, ""THUỐC"": 3}"
59	v7	25	40	12	20	13	28	5	9	4	3	"{""TÊN_XÉT_NGHIỆM"": 3, ""TRIỆU_CHỨNG"": 17, ""CHẨN_ĐOÁN"": 5}"	"{""TÊN_XÉT_NGHIỆM"": 13, ""TRIỆU_CHỨNG"": 27}"	v10	25	40	12	20	13	28	5	9	4	3	"{""TÊN_XÉT_NGHIỆM"": 3, ""TRIỆU_CHỨNG"": 17, ""CHẨN_ĐOÁN"": 5}"	"{""TÊN_XÉT_NGHIỆM"": 13, ""TRIỆU_CHỨNG"": 27}"
6	v7	6	7	2	3	4	5	0	1	0	0	"{""CHẨN_ĐOÁN"": 1, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3}"	"{""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 3, ""TRIỆU_CHỨNG"": 2}"	v10	6	7	2	3	4	5	0	1	0	0	"{""CHẨN_ĐOÁN"": 1, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3}"	"{""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 3, ""TRIỆU_CHỨNG"": 2}"
60	v7	5	11	3	4	2	8	1	1	2	2	"{""CHẨN_ĐOÁN"": 3, ""TRIỆU_CHỨNG"": 2}"	"{""TÊN_XÉT_NGHIỆM"": 4, ""TRIỆU_CHỨNG"": 5, ""CHẨN_ĐOÁN"": 2}"	v10	5	11	3	4	2	8	1	1	2	2	"{""CHẨN_ĐOÁN"": 3, ""TRIỆU_CHỨNG"": 2}"	"{""TÊN_XÉT_NGHIỆM"": 4, ""TRIỆU_CHỨNG"": 5, ""CHẨN_ĐOÁN"": 2}"
61	v7	11	12	5	6	6	7	1	2	0	0	"{""TRIỆU_CHỨNG"": 7, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""TRIỆU_CHỨNG"": 7, ""TÊN_XÉT_NGHIỆM"": 5}"	v10	11	12	5	6	6	7	1	2	0	0	"{""TRIỆU_CHỨNG"": 7, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""TRIỆU_CHỨNG"": 7, ""TÊN_XÉT_NGHIỆM"": 5}"
62	v7	4	8	4	4	0	4	0	0	4	0	"{""TRIỆU_CHỨNG"": 4}"	"{""TÊN_XÉT_NGHIỆM"": 4, ""TRIỆU_CHỨNG"": 4}"	v10	4	8	4	4	0	4	0	0	4	0	"{""TRIỆU_CHỨNG"": 4}"	"{""TÊN_XÉT_NGHIỆM"": 4, ""TRIỆU_CHỨNG"": 4}"
63	v7	3	38	0	0	3	38	2	1	0	2	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 1, ""THUỐC"": 1}"	"{""TRIỆU_CHỨNG"": 23, ""TÊN_XÉT_NGHIỆM"": 6, ""THUỐC"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2, ""CHẨN_ĐOÁN"": 1}"	v10	3	38	0	0	3	38	2	1	0	2	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 1, ""THUỐC"": 1}"	"{""TRIỆU_CHỨNG"": 22, ""TÊN_XÉT_NGHIỆM"": 6, ""THUỐC"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2, ""CHẨN_ĐOÁN"": 2}"
64	v7	27	45	13	26	14	32	1	14	9	3	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 6, ""TRIỆU_CHỨNG"": 17}"	"{""CHẨN_ĐOÁN"": 5, ""THUỐC"": 5, ""TRIỆU_CHỨNG"": 31, ""TÊN_XÉT_NGHIỆM"": 4}"	v10	27	45	13	26	14	32	1	14	9	3	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 6, ""TRIỆU_CHỨNG"": 17}"	"{""CHẨN_ĐOÁN"": 5, ""THUỐC"": 5, ""TRIỆU_CHỨNG"": 31, ""TÊN_XÉT_NGHIỆM"": 4}"
65	v7	8	14	5	6	3	9	1	2	1	0	"{""THUỐC"": 1, ""TRIỆU_CHỨNG"": 3, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""TRIỆU_CHỨNG"": 9, ""TÊN_XÉT_NGHIỆM"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	v10	8	14	5	6	3	9	1	2	1	0	"{""THUỐC"": 1, ""TRIỆU_CHỨNG"": 3, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""TRIỆU_CHỨNG"": 9, ""TÊN_XÉT_NGHIỆM"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"
66	v7	31	41	5	17	26	36	8	17	10	6	"{""CHẨN_ĐOÁN"": 7, ""TRIỆU_CHỨNG"": 5, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 11, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"	"{""TRIỆU_CHỨNG"": 18, ""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 16, ""THUỐC"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	v10	31	41	5	17	26	36	8	17	10	6	"{""CHẨN_ĐOÁN"": 7, ""TRIỆU_CHỨNG"": 5, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 11, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"	"{""TRIỆU_CHỨNG"": 18, ""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 16, ""THUỐC"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"
67	v7	8	10	3	5	5	7	1	2	0	3	"{""TÊN_XÉT_NGHIỆM"": 3, ""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 5, ""CHẨN_ĐOÁN"": 3, ""TRIỆU_CHỨNG"": 2}"	v10	8	10	3	5	5	7	1	2	0	3	"{""TÊN_XÉT_NGHIỆM"": 3, ""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 5, ""CHẨN_ĐOÁN"": 3, ""TRIỆU_CHỨNG"": 2}"
68	v7	5	6	3	4	2	3	1	1	0	1	"{""CHẨN_ĐOÁN"": 2, ""TRIỆU_CHỨNG"": 3}"	"{""TRIỆU_CHỨNG"": 5, ""CHẨN_ĐOÁN"": 1}"	v10	5	6	3	4	2	3	1	1	0	1	"{""CHẨN_ĐOÁN"": 2, ""TRIỆU_CHỨNG"": 3}"	"{""TRIỆU_CHỨNG"": 5, ""CHẨN_ĐOÁN"": 1}"
69	v7	22	29	9	11	13	20	10	7	3	1	"{""CHẨN_ĐOÁN"": 10, ""TRIỆU_CHỨNG"": 6, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 10, ""TRIỆU_CHỨNG"": 16, ""THUỐC"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	v10	22	29	9	11	13	20	10	7	3	1	"{""CHẨN_ĐOÁN"": 10, ""TRIỆU_CHỨNG"": 6, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 10, ""TRIỆU_CHỨNG"": 16, ""THUỐC"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"
7	v7	17	57	11	13	6	46	4	5	2	1	"{""CHẨN_ĐOÁN"": 3, ""THUỐC"": 1, ""TRIỆU_CHỨNG"": 7, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 46, ""CHẨN_ĐOÁN"": 1, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	v10	17	57	11	13	6	46	4	5	2	1	"{""CHẨN_ĐOÁN"": 3, ""THUỐC"": 1, ""TRIỆU_CHỨNG"": 7, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 46, ""CHẨN_ĐOÁN"": 1, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"
70	v7	56	64	33	39	23	31	7	7	3	3	"{""TRIỆU_CHỨNG"": 17, ""THUỐC"": 3, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 19, ""KẾT_QUẢ_XÉT_NGHIỆM"": 12}"	"{""TRIỆU_CHỨNG"": 30, ""THUỐC"": 5, ""TÊN_XÉT_NGHIỆM"": 21, ""KẾT_QUẢ_XÉT_NGHIỆM"": 8}"	v10	56	64	33	39	23	31	7	7	3	3	"{""TRIỆU_CHỨNG"": 17, ""THUỐC"": 3, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 19, ""KẾT_QUẢ_XÉT_NGHIỆM"": 12}"	"{""TRIỆU_CHỨNG"": 30, ""THUỐC"": 5, ""TÊN_XÉT_NGHIỆM"": 21, ""KẾT_QUẢ_XÉT_NGHIỆM"": 8}"
71	v7	29	36	12	16	17	24	15	6	7	8	"{""CHẨN_ĐOÁN"": 11, ""THUỐC"": 2, ""TRIỆU_CHỨNG"": 10, ""TÊN_XÉT_NGHIỆM"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3}"	"{""TRIỆU_CHỨNG"": 27, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 2, ""THUỐC"": 2}"	v10	29	36	12	16	17	24	15	6	7	8	"{""CHẨN_ĐOÁN"": 11, ""THUỐC"": 2, ""TRIỆU_CHỨNG"": 10, ""TÊN_XÉT_NGHIỆM"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3}"	"{""TRIỆU_CHỨNG"": 27, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 2, ""THUỐC"": 2}"
72	v7	25	26	7	13	18	19	4	8	2	2	"{""TRIỆU_CHỨNG"": 2, ""TÊN_XÉT_NGHIỆM"": 11, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7, ""CHẨN_ĐOÁN"": 5}"	"{""TÊN_XÉT_NGHIỆM"": 18, ""TRIỆU_CHỨNG"": 6, ""THUỐC"": 1, ""CHẨN_ĐOÁN"": 1}"	v10	25	26	7	13	18	19	4	8	2	2	"{""TRIỆU_CHỨNG"": 2, ""TÊN_XÉT_NGHIỆM"": 11, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7, ""CHẨN_ĐOÁN"": 5}"	"{""TÊN_XÉT_NGHIỆM"": 18, ""TRIỆU_CHỨNG"": 6, ""THUỐC"": 1, ""CHẨN_ĐOÁN"": 1}"
73	v7	28	42	18	18	10	24	11	6	7	11	"{""TRIỆU_CHỨNG"": 7, ""CHẨN_ĐOÁN"": 14, ""THUỐC"": 7}"	"{""TRIỆU_CHỨNG"": 22, ""CHẨN_ĐOÁN"": 4, ""TÊN_XÉT_NGHIỆM"": 7, ""THUỐC"": 9}"	v10	28	42	18	18	10	24	11	6	7	11	"{""TRIỆU_CHỨNG"": 7, ""CHẨN_ĐOÁN"": 14, ""THUỐC"": 7}"	"{""TRIỆU_CHỨNG"": 22, ""CHẨN_ĐOÁN"": 4, ""TÊN_XÉT_NGHIỆM"": 7, ""THUỐC"": 9}"
74	v7	26	43	14	21	12	29	5	9	21	3	"{""THUỐC"": 3, ""CHẨN_ĐOÁN"": 2, ""TRIỆU_CHỨNG"": 17, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""TÊN_XÉT_NGHIỆM"": 8, ""THUỐC"": 6, ""TRIỆU_CHỨNG"": 27, ""CHẨN_ĐOÁN"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	v10	26	43	14	21	12	29	5	9	21	3	"{""THUỐC"": 3, ""CHẨN_ĐOÁN"": 2, ""TRIỆU_CHỨNG"": 17, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""TÊN_XÉT_NGHIỆM"": 8, ""THUỐC"": 6, ""TRIỆU_CHỨNG"": 27, ""CHẨN_ĐOÁN"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"
75	v7	26	44	14	20	12	30	1	6	12	0	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 10, ""TÊN_XÉT_NGHIỆM"": 4, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6, ""THUỐC"": 5}"	"{""TRIỆU_CHỨNG"": 12, ""TÊN_XÉT_NGHIỆM"": 21, ""THUỐC"": 9, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	v10	26	44	15	20	11	29	1	5	12	0	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 10, ""TÊN_XÉT_NGHIỆM"": 4, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6, ""THUỐC"": 5}"	"{""TRIỆU_CHỨNG"": 12, ""TÊN_XÉT_NGHIỆM"": 21, ""THUỐC"": 9, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"
