file	kind	text_a	type_a	span_a	text_b	type_b	span_b	pair
66	a_contains_b	bun/creatinine	TÊN_XÉT_NGHIỆM	923-937	creatinine	THUỐC	927-937	THUỐC ↔ TÊN_XÉT_NGHIỆM
69	a_contains_b	phân có guaiac dương tính đến	TRIỆU_CHỨNG	260-289	guaiac	THUỐC	268-274	THUỐC ↔ TRIỆU_CHỨNG
69	a_contains_b	phân có guaiac dương tính	TRIỆU_CHỨNG	352-377	guaiac	THUỐC	360-366	THUỐC ↔ TRIỆU_CHỨNG
69	a_contains_b	dương tính với ung thư biểu mô tuyến	KẾT_QUẢ_XÉT_NGHIỆM	502-538	ung thư biểu mô tuyến	TRIỆU_CHỨNG	517-538	KẾT_QUẢ_XÉT_NGHIỆM ↔ TRIỆU_CHỨNG
70	a_contains_b	taking 10 pills	TÊN_XÉT_NGHIỆM	192-207	pill	THUỐC	202-206	THUỐC ↔ TÊN_XÉT_NGHIỆM
70	b_contains_a	doppler âm	TÊN_XÉT_NGHIỆM	2122-2132	doppler âm tính âm tính	KẾT_QUẢ_XÉT_NGHIỆM	2122-2145	KẾT_QUẢ_XÉT_NGHIỆM ↔ TÊN_XÉT_NGHIỆM
71	b_contains_a	bệnh tim mạch	TRIỆU_CHỨNG	95-108	bệnh tim mạch do xơ vữa động mạch	CHẨN_ĐOÁN	95-128	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
71	partial_overlap	bệnh tim mạch do xơ vữa động mạch	CHẨN_ĐOÁN	95-128	xơ vữa động mạch sau	TRIỆU_CHỨNG	112-132	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
71	b_contains_a	suy tim	TRIỆU_CHỨNG	140-147	suy tim, không đặc hiệu	CHẨN_ĐOÁN	140-163	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
71	b_contains_a	Suy tim sung huyết	CHẨN_ĐOÁN	485-503	Suy tim sung huyết cấp	TRIỆU_CHỨNG	485-507	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
71	a_contains_b	tăng liều lasix	TÊN_XÉT_NGHIỆM	534-549	lasix	THUỐC	544-549	THUỐC ↔ TÊN_XÉT_NGHIỆM
73	a_contains_b	Đái tháo đường type 2	TRIỆU_CHỨNG	320-341	type	TÊN_XÉT_NGHIỆM	335-339	TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
73	b_contains_a	bệnh tim mạch	TRIỆU_CHỨNG	469-482	bệnh tim mạch do xơ vữa động mạch	CHẨN_ĐOÁN	469-502	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
73	a_contains_b	bệnh tim mạch do xơ vữa động mạch	CHẨN_ĐOÁN	469-502	xơ vữa động mạch	TRIỆU_CHỨNG	486-502	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
73	b_contains_a	bệnh tim mạch	TRIỆU_CHỨNG	504-517	bệnh tim mạch do xơ vữa động mạch	CHẨN_ĐOÁN	504-537	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
73	a_contains_b	bệnh tim mạch do xơ vữa động mạch	CHẨN_ĐOÁN	504-537	xơ vữa động mạch	TRIỆU_CHỨNG	521-537	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
73	b_contains_a	lisinopril	TÊN_XÉT_NGHIỆM	986-996	lisinopril 2.5mg daily	THUỐC	986-1008	THUỐC ↔ TÊN_XÉT_NGHIỆM
76	b_contains_a	VAS	TÊN_XÉT_NGHIỆM	878-881	VAS 7/10	TRIỆU_CHỨNG	878-886	TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
76	a_contains_b	đau trong 1.5h liên lục	TRIỆU_CHỨNG	888-911	trong	TÊN_XÉT_NGHIỆM	892-897	TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
77	a_contains_b	chất gây nghiện opioid	THUỐC	593-615	opioid	TÊN_XÉT_NGHIỆM	609-615	THUỐC ↔ TÊN_XÉT_NGHIỆM
77	a_contains_b	ý nghĩ tự tử, có nghĩ tự bắn vào đầu	TRIỆU_CHỨNG	1057-1093	bắn	CHẨN_ĐOÁN	1082-1085	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
77	b_contains_a	lo âu	TRIỆU_CHỨNG	1100-1105	"lo âu
hoảng sợ"	CHẨN_ĐOÁN	1100-1114	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
79	a_contains_b	bàn chân vẹo bẩm sinh	TRIỆU_CHỨNG	153-174	sinh	TÊN_XÉT_NGHIỆM	170-174	TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
80	a_contains_b	chấn thương gãy xương sườn trái	TRIỆU_CHỨNG	134-165	gãy xương sườn	CHẨN_ĐOÁN	146-160	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
80	a_contains_b	chấn thương gãy xương sườn trái	TRIỆU_CHỨNG	304-335	gãy xương sườn	CHẨN_ĐOÁN	316-330	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
80	a_contains_b	) lồng ngực Hình ảnh gãy 3 xương sườn 9	KẾT_QUẢ_XÉT_NGHIỆM	449-488	lồng ngực	TÊN_XÉT_NGHIỆM	451-460	KẾT_QUẢ_XÉT_NGHIỆM ↔ TÊN_XÉT_NGHIỆM
80	a_contains_b	) lồng ngực Hình ảnh gãy 3 xương sườn 9	KẾT_QUẢ_XÉT_NGHIỆM	449-488	gãy 3 xương sườn	TRIỆU_CHỨNG	470-486	KẾT_QUẢ_XÉT_NGHIỆM ↔ TRIỆU_CHỨNG
81	partial_overlap	chụp cắt lớp vi tính (ct) sọ	TÊN_XÉT_NGHIỆM	257-285	) sọ  trước mổ cho thấy độ dày niêm mạc xoang hàm dày lên	KẾT_QUẢ_XÉT_NGHIỆM	281-338	KẾT_QUẢ_XÉT_NGHIỆM ↔ TÊN_XÉT_NGHIỆM
84	b_contains_a	Ipratropium	TÊN_XÉT_NGHIỆM	1267-1278	Ipratropium 1 lần	THUỐC	1267-1284	THUỐC ↔ TÊN_XÉT_NGHIỆM
84	b_contains_a	Ceftriaxone	TÊN_XÉT_NGHIỆM	1291-1302	Ceftriaxone 1 gram	THUỐC	1291-1309	THUỐC ↔ TÊN_XÉT_NGHIỆM
84	b_contains_a	Tylenol	TÊN_XÉT_NGHIỆM	1333-1340	Tylenol 1 gram	THUỐC	1333-1347	THUỐC ↔ TÊN_XÉT_NGHIỆM
88	a_contains_b	Dùngmethadonekéo dài	TRIỆU_CHỨNG	356-376	methadone	THUỐC	360-369	THUỐC ↔ TRIỆU_CHỨNG
88	b_contains_a	lasix	THUỐC	383-388	lasixđã	TÊN_XÉT_NGHIỆM	383-390	THUỐC ↔ TÊN_XÉT_NGHIỆM
91	b_contains_a	coumadin	TÊN_XÉT_NGHIỆM	401-409	coumadin 3.0 mg /ng	THUỐC	401-420	THUỐC ↔ TÊN_XÉT_NGHIỆM
91	a_contains_b	coumadin 3.0 mg /ng	THUỐC	401-420	3.0	KẾT_QUẢ_XÉT_NGHIỆM	410-413	KẾT_QUẢ_XÉT_NGHIỆM ↔ THUỐC
96	a_contains_b	sốt cao 39.7 độ C	TRIỆU_CHỨNG	822-839	39.7	KẾT_QUẢ_XÉT_NGHIỆM	830-834	KẾT_QUẢ_XÉT_NGHIỆM ↔ TRIỆU_CHỨNG
98	b_contains_a	Đa u tủy	CHẨN_ĐOÁN	485-493	Đa u tủy xương	TRIỆU_CHỨNG	485-499	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
99	b_contains_a	rối loạn lo âu	TRIỆU_CHỨNG	39-53	rối loạn lo âu, không biệt định	CHẨN_ĐOÁN	39-70	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
100	b_contains_a	cơn đau thắt ngực	CHẨN_ĐOÁN	204-221	cơn đau thắt ngực ổn định	TRIỆU_CHỨNG	204-229	CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	không	TRIỆU_CHỨNG|TÊN_XÉT_NGHIỆM					TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	xơ vữa động mạch	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	trong	TRIỆU_CHỨNG|TÊN_XÉT_NGHIỆM					TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	tim to	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	viêm thực quản	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	hạ huyết áp, không đặc hiệu	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	đặt nội khí quản	THUỐC|TÊN_XÉT_NGHIỆM					THUỐC ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	tylenol	THUỐC|TÊN_XÉT_NGHIỆM					THUỐC ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	tổn thương vùng âm hộ và mông bên phải	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	chán ăn	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	sinh	THUỐC|TÊN_XÉT_NGHIỆM					THUỐC ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	suy tim	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	vancomycin	THUỐC|TÊN_XÉT_NGHIỆM					THUỐC ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	coumadin	THUỐC|TÊN_XÉT_NGHIỆM					THUỐC ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	sỏi mật	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	viêm túi mật	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	thuốc giảm đau	THUỐC|TÊN_XÉT_NGHIỆM					THUỐC ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	furosemide	THUỐC|TÊN_XÉT_NGHIỆM					THUỐC ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	lợi tiểu	THUỐC|TRIỆU_CHỨNG					THUỐC ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	tràng	TRIỆU_CHỨNG|TÊN_XÉT_NGHIỆM					TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	ăn uống kém	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	bạch cầu tăng	TRIỆU_CHỨNG|TÊN_XÉT_NGHIỆM					TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	tăng kali máu	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	suy thận cấp	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	loét tá tràng	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	methadone	THUỐC|TÊN_XÉT_NGHIỆM					THUỐC ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	đau rát khi đi tiểu	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	prednisone	THUỐC|TÊN_XÉT_NGHIỆM					THUỐC ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	bicarbonate	THUỐC|TÊN_XÉT_NGHIỆM					THUỐC ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	viêm phổi thuỳ, không đặc hiệu	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	rối loạn cân bằng kiềm toan phối hợp	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
*	same_normalized_text_multi_type	tim	TRIỆU_CHỨNG|TÊN_XÉT_NGHIỆM					TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	kháng sinh	THUỐC|TÊN_XÉT_NGHIỆM					THUỐC ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	tính	TRIỆU_CHỨNG|TÊN_XÉT_NGHIỆM					TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	tăng bilirubin máu	TRIỆU_CHỨNG|TÊN_XÉT_NGHIỆM					TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	cabg	TRIỆU_CHỨNG|TÊN_XÉT_NGHIỆM					TRIỆU_CHỨNG ↔ TÊN_XÉT_NGHIỆM
*	same_normalized_text_multi_type	vết thương thấu bụng giữa bên phải	CHẨN_ĐOÁN|TRIỆU_CHỨNG					CHẨN_ĐOÁN ↔ TRIỆU_CHỨNG
